GeneSymbol	log2FC	ENTREZID	SYMBOL	Genotoxic.score	Non.Genotoxic.score	my.train.sd	EntrezID	EnsemblID
PPM1D	3.75809725374607	8493	PPM1D	1.1313	-0.9572	0.176351709	8493	ENSG00000170836
PRKAB1	3.67305589451696	5564	PRKAB1	1.1057	-0.9356	0.205533748	5564	ENSG00000111725
PRKAB2	1.65797431215828	5565	PRKAB2	0.4991	-0.4223	0.19527471	5565	ENSG00000131791
PTGER4	-2.00910211178788	5734	PTGER4	-0.6048	0.5118	0.259978228	5734	ENSG00000171522
RAPGEF2	-1.91741689636899	9693	RAPGEF2	-0.5772	0.4884	0.226287667	9693	ENSG00000109756
RBM12B	1.73039234462683	389677	RBM12B	0.5209	-0.4407	0.182128272	389677	ENSG00000183808
RPS27L	1.84931737042379	51065	RPS27L	0.5567	-0.4711	0.183472923	51065	ENSG00000185088
RRM2B	1.99548220659884	50484	RRM2B	0.6007	-0.5083	0.272242208	50484	ENSG00000048392
SEL1L	-1.00089693498956	6400	SEL1L	-0.3013	0.2549	0.242394732	6400	ENSG00000071537
SEMG2	1.37660700252132	6407	SEMG2	0.4144	-0.3507	0.233760215	6407	ENSG00000124157
SERTAD1	3.08042392238905	29950	SERTAD1	0.9273	-0.7847	0.252867208	29950	ENSG00000197019
SMAD5	1.66229281868164	4090	SMAD5	0.5004	-0.4234	0.211049813	4090	ENSG00000113658
TM7SF3	2.01641035359663	51768	TM7SF3	0.607	-0.5136	0.173816425	51768	ENSG00000064115
TNFRSF17	1.82772483780703	608	TNFRSF17	0.5502	-0.4656	0.357411379	608	ENSG00000048462
TOPORS	1.6015015345452	10210	TOPORS	0.4821	-0.4079	0.236195724	10210	ENSG00000197579
TP53I3	2.33498325789633	9540	TP53I3	0.7029	-0.5947	0.198207248	9540	ENSG00000115129
TRIAP1	3.02959842253727	51499	TRIAP1	0.912	-0.7717	0.231902284	51499	ENSG00000170855
TRIM22	2.81300871075062	10346	TRIM22	0.8468	-0.7165	0.234242743	10346	ENSG00000132274
HIST1H1E	-1.56396374707297	3008	H1-4	-0.4708	0.3984	0.311311669	3008	ENSG00000168298
HIST1H2BB	-0.91751653980789	3018	H2BC3	-0.2762	0.2337	0.326182761	3018	ENSG00000276410
HIST1H2BG	-1.08029101645737	8339	H2BC8	-0.3252	0.2752	0.349431335	8339	ENSG00000273802
HIST1H2BN	-0.724180324685445	8341	H2BC15	-0.218	0.1845	0.218500879	8341	ENSG00000233822
HIST1H2BM	-0.914194611713002	8342	H2BC14	-0.2752	0.2329	0.355779486	8342	ENSG00000273703
HIST1H2BI	-0.873002703336399	8346	H2BC10	-0.2628	0.2224	0.332690089	8346	ENSG00000278588
HIST1H2BC	-1.05604094136469	8347	H2BC4	-0.3179	0.269	0.328576434	8347	ENSG00000180596
HIST1H3D	-1.07530812431504	8351	H3C4	-0.3237	0.2739	0.244396308	8351	ENSG00000197409
C12orf5	2.10975653306296	57103	TIGAR	0.6351	-0.5374	0.225288872	57103	ENSG00000078237
FAM123B	2.01940008888203	139285	AMER1	0.6079	-0.5144	0.223917377	139285	ENSG00000184675
USP41	0.256575899785795	373856	USP41P	0.077237042	0.011720961	0.09086917	373856	ENSG00000161133
